path,decls,font_family_declarations,font_size_declarations,hex_occurrences,px_occurrences,z_index_literal_declarations,scope,off_token_dimensions,off_token_spacing,off_interior_type,unresolved_type,m10_static_potential
web/src/design/atmosphere-preview.css,97,1,8,0,43,0,preview,2,6,4,1,0
web/src/desk/chair/_parked/hero/hero.css,60,2,4,0,18,0,parked,0,1,3,0,0
web/src/desk/chair/chair.css,315,22,24,5,74,0,source-consumer,5,2,13,0,1
web/src/desk/components/RepoWindow.css,54,0,2,1,22,0,source-consumer,1,4,2,0,0
web/src/desk/components/RoadmapWindow.css,113,0,5,0,61,0,source-consumer,8,11,6,1,0
web/src/desk/components/attention.css,329,1,19,1,134,0,source-consumer,7,15,3,1,0
web/src/desk/components/chrome-menus.css,536,7,18,1,183,0,source-consumer,17,14,10,0,0
web/src/desk/components/delivery.css,235,4,18,0,70,0,source-consumer,7,5,5,0,0
web/src/desk/components/dock.css,156,1,6,0,45,0,source-consumer,2,4,1,0,0
web/src/desk/components/inlet-autocomplete.css,22,1,1,0,7,0,source-consumer,1,0,0,0,0
web/src/desk/components/inline-editor.css,140,4,8,0,42,0,source-consumer,6,4,4,2,0
web/src/desk/components/interview.css,27,1,3,0,18,0,source-consumer,2,0,0,0,0
web/src/desk/components/list-view.css,156,0,4,0,44,0,source-consumer,4,7,7,4,0
web/src/desk/components/mission-control.css,442,20,29,0,125,0,source-consumer,4,4,12,1,0
web/src/desk/components/pullout.css,440,5,20,0,142,0,source-consumer,12,14,5,0,0
web/src/desk/components/record-orb.css,33,0,2,0,6,0,source-consumer,0,1,0,0,0
web/src/desk/components/session-pullout.css,176,10,14,0,65,0,source-consumer,9,2,4,0,0
web/src/desk/components/speak-to-fill.css,116,1,5,0,31,0,source-consumer,7,0,2,1,0
web/src/desk/components/speak.css,269,1,1,0,105,0,source-consumer,1,6,4,0,0
web/src/desk/components/window-chrome.css,400,5,19,0,89,0,source-consumer,11,8,3,2,0
web/src/desk/components/workbench-config.css,407,29,38,0,127,0,source-consumer,4,6,15,2,0
web/src/desk/desk.css,116,0,1,0,21,0,source-consumer,4,0,0,1,0
web/src/desk/hooks/write-receipt.css,37,1,3,0,15,0,source-consumer,0,1,3,0,0
web/src/desk/pullouts/intelligence.css,482,25,35,0,62,0,source-consumer,12,2,13,2,1
web/src/desk/pullouts/thread-pullout.css,733,38,59,54,284,0,source-consumer,13,7,12,0,0
web/src/desk/surface/filter-tokens.css,21,1,1,0,3,0,library,0,0,0,0,0
web/src/desk/surface/gadgets.css,609,12,21,5,236,0,library,10,11,16,0,0
web/src/desk/surface/graph/topology-surface.css,130,1,0,0,25,0,library,2,1,4,0,0
web/src/desk/surface/patterns/action-notice.css,40,1,2,0,16,0,library,0,0,2,0,0
web/src/desk/surface/patterns/choice-card.css,140,5,7,1,48,0,library,1,4,3,0,0
web/src/desk/surface/patterns/claim-axes.css,4,0,0,0,1,0,library,0,0,0,0,0
web/src/desk/surface/patterns/coverage-row.css,23,2,3,1,4,0,library,0,0,3,0,0
web/src/desk/surface/patterns/disclosure.css,61,4,5,0,19,0,library,0,2,2,0,0
web/src/desk/surface/patterns/ledger-remainder.css,13,1,1,0,5,0,library,0,0,0,0,0
web/src/desk/surface/patterns/popover.css,27,1,1,0,9,0,library,2,0,0,0,0
web/src/desk/surface/patterns/progress-plan.css,80,1,4,0,32,0,library,0,0,3,0,0
web/src/desk/surface/patterns/project-button.css,21,1,1,0,4,0,library,0,0,1,0,0
web/src/desk/surface/patterns/provenance.css,62,0,1,0,15,0,library,0,2,5,0,0
web/src/desk/surface/patterns/state-chip.css,27,0,1,0,6,0,library,0,1,1,0,0
web/src/desk/surface/patterns/task-resume.css,60,1,2,0,10,0,library,0,0,1,0,0
web/src/desk/surface/surface-footer.css,255,11,14,0,77,0,library,2,4,12,1,0
web/src/desk/surface/surface.css,2387,47,106,2,642,0,library,53,35,31,7,1
web/src/desk/thought-workspace/thought-workspace.css,201,1,4,0,77,0,source-consumer,7,9,2,0,0
web/src/features/concierge/concierge.css,248,0,0,39,99,0,source-consumer,1,4,3,0,0
web/src/features/project-room/_parked/setup/jira-wizard.css,56,3,5,0,6,0,parked,0,0,1,1,0
web/src/features/project-room/_parked/setup/setup.css,458,5,43,0,41,0,parked,1,0,1,43,0
