category,status,path,line,value,property,face,family,rule,tenet,priority,finding,source,detail,selector_hint,potential,audit_status
spacing,on-token-scale,web/src/design/atmosphere-preview.css,13,26px,padding,src/design/atmosphere-preview,design-preview,D1,Tenet 5,48,True,consumer,raw 26px; on-token-scale; spacing property bypasses a spacing token,,False,source-literal
spacing,off-token-scale,web/src/design/atmosphere-preview.css,13,38px,padding,src/design/atmosphere-preview,design-preview,D1,Tenet 5,88,True,consumer,raw 38px; off-token-scale; spacing property bypasses a spacing token,,False,source-literal
font-size,raw-off-interior,web/src/design/atmosphere-preview.css,19,17px,font-size,src/design/atmosphere-preview,design-preview,D2,Tenet 5,98,True,consumer,resolved=17px from px; face; resolution=literal; raw scale bypass,,False,type-review
spacing,on-token-scale,web/src/design/atmosphere-preview.css,24,12px,margin-left,src/design/atmosphere-preview,design-preview,D1,Tenet 5,48,True,consumer,raw 12px; on-token-scale; spacing property bypasses a spacing token,,False,source-literal
font-size,raw-interior,web/src/design/atmosphere-preview.css,25,13px,font-size,src/design/atmosphere-preview,design-preview,D1,Tenet 5,42,True,consumer,resolved=13px from px; face; resolution=literal; raw scale bypass,,False,type-review
spacing,on-token-scale,web/src/design/atmosphere-preview.css,31,10px,gap,src/design/atmosphere-preview,design-preview,D1,Tenet 5,48,True,consumer,raw 10px; on-token-scale; spacing property bypasses a spacing token,,False,source-literal
raw-px-size,off-token-scale,web/src/design/atmosphere-preview.css,38,3px,border-radius,src/design/atmosphere-preview,design-preview,D1,Tenet 5,82,True,consumer,raw 3px; off-token-scale; dimension bypasses a token,,False,source-literal
raw-px-size,on-token-scale,web/src/design/atmosphere-preview.css,39,40px,min-height,src/design/atmosphere-preview,design-preview,D1,Tenet 5,44,True,consumer,raw 40px; on-token-scale; dimension bypasses a token,,False,source-literal
spacing,on-token-scale,web/src/design/atmosphere-preview.css,40,8px,padding,src/design/atmosphere-preview,design-preview,D1,Tenet 5,48,True,consumer,raw 8px; on-token-scale; spacing property bypasses a spacing token,,False,source-literal
spacing,on-token-scale,web/src/design/atmosphere-preview.css,40,15px,padding,src/design/atmosphere-preview,design-preview,D1,Tenet 5,48,True,consumer,raw 15px; on-token-scale; spacing property bypasses a spacing token,,False,source-literal
font-shorthand-size,unresolved,web/src/design/atmosphere-preview.css,42,inherit,font,src/design/atmosphere-preview,design-preview,D2,Tenet 5,65,True,consumer,could not resolve a var() alias statically,,False,unknown
font-size,raw-interior,web/src/design/atmosphere-preview.css,43,12px,font-size,src/design/atmosphere-preview,design-preview,D1,Tenet 5,42,True,consumer,resolved=12px from px; face; resolution=literal; raw scale bypass,,False,type-review
spacing,off-token-scale,web/src/design/atmosphere-preview.css,59,80px,padding,src/design/atmosphere-preview,design-preview,D1,Tenet 5,88,True,consumer,raw 80px; off-token-scale; spacing property bypasses a spacing token,,False,source-literal
spacing,off-token-scale,web/src/design/atmosphere-preview.css,59,38px,padding,src/design/atmosphere-preview,design-preview,D1,Tenet 5,88,True,consumer,raw 38px; off-token-scale; spacing property bypasses a spacing token,,False,source-literal
spacing,on-token-scale,web/src/design/atmosphere-preview.css,59,26px,padding,src/design/atmosphere-preview,design-preview,D1,Tenet 5,48,True,consumer,raw 26px; on-token-scale; spacing property bypasses a spacing token,,False,source-literal
spacing,on-token-scale,web/src/design/atmosphere-preview.css,62,22px,gap,src/design/atmosphere-preview,design-preview,D1,Tenet 5,48,True,consumer,raw 22px; on-token-scale; spacing property bypasses a spacing token,,False,source-literal
