id,source,path,line,kind,text,context,confidence,surface,language,word_count,has_sentence_punct
1,web/src/components/AmbientLayer.tsx:64,web/src/components/AmbientLayer.tsx,64,jsx-attr,Dictation preview,aria-label,static,rendered,words,2,false
2,web/src/components/AmbientLayer.tsx:65,web/src/components/AmbientLayer.tsx,65,jsx-text,Preview before type,JSX text,static,rendered,words,3,false
3,web/src/components/AmbientLayer.tsx:66,web/src/components/AmbientLayer.tsx,66,runtime-expression,"preview.text ?? ""Your dictation is ready.""",JSX child,unresolved,rendered,words,6,true
4,web/src/components/AmbientLayer.tsx:69,web/src/components/AmbientLayer.tsx,69,runtime-attr,error,error,unresolved,rendered,words,1,false
5,web/src/components/AmbientLayer.tsx:80,web/src/components/AmbientLayer.tsx,80,jsx-text,Type it,JSX text,static,rendered,words,2,false
6,web/src/components/AmbientLayer.tsx:83,web/src/components/AmbientLayer.tsx,83,jsx-text,Discard,JSX text,static,rendered,words,1,false
7,web/src/components/AmbientLayer.tsx:116,web/src/components/AmbientLayer.tsx,116,runtime-attr,running ? `${running} running` : failed ? `${failed} failed` : `${pending} queued`,label,unresolved,rendered,words,8,true
8,web/src/components/AmbientLayer.tsx:127,web/src/components/AmbientLayer.tsx,127,jsx-text,Intelligence queue,JSX text,static,rendered,words,2,false
9,web/src/components/AmbientLayer.tsx:129,web/src/components/AmbientLayer.tsx,129,runtime-expression,pending,JSX child,unresolved,rendered,words,1,false
10,web/src/components/AmbientLayer.tsx:129,web/src/components/AmbientLayer.tsx,129,jsx-text,pending ·,JSX text,static,rendered,words,1,false
11,web/src/components/AmbientLayer.tsx:129,web/src/components/AmbientLayer.tsx,129,runtime-expression,running,JSX child,unresolved,rendered,words,1,false
12,web/src/components/AmbientLayer.tsx:129,web/src/components/AmbientLayer.tsx,129,jsx-text,running ·,JSX text,static,rendered,words,1,false
13,web/src/components/AmbientLayer.tsx:129,web/src/components/AmbientLayer.tsx,129,runtime-expression,failed,JSX child,unresolved,rendered,words,1,false
14,web/src/components/AmbientLayer.tsx:129,web/src/components/AmbientLayer.tsx,129,jsx-text,failed,JSX text,static,rendered,words,1,false
15,web/src/components/AmbientLayer.tsx:130,web/src/components/AmbientLayer.tsx,130,runtime-expression,"retries ? ` · ${retries} retrying` : """"",JSX child,unresolved,rendered,words,3,true
16,web/src/components/AmbientLayer.tsx:136,web/src/components/AmbientLayer.tsx,136,runtime-expression,"String(job.label ?? job.meeting_id ?? ""Job"")",JSX child,unresolved,rendered,words,7,true
17,web/src/components/AmbientLayer.tsx:136,web/src/components/AmbientLayer.tsx,136,jsx-expression-string,Job,JSX expression,static,rendered,words,1,false
18,web/src/components/AmbientLayer.tsx:137,web/src/components/AmbientLayer.tsx,137,runtime-expression,"String(job.status ?? """")",JSX child,unresolved,rendered,words,3,true
19,web/src/components/AmbientLayer.tsx:142,web/src/components/AmbientLayer.tsx,142,jsx-text,Open queue,JSX text,static,rendered,words,2,false
20,web/src/components/AmbientLayer.tsx:169,web/src/components/AmbientLayer.tsx,169,jsx-attr,Meeting aftercare,aria-label,static,rendered,words,2,false
21,web/src/components/AmbientLayer.tsx:172,web/src/components/AmbientLayer.tsx,172,jsx-text,Meeting ready,JSX text,static,rendered,words,2,false
22,web/src/components/AmbientLayer.tsx:173,web/src/components/AmbientLayer.tsx,173,runtime-expression,signal.title,JSX child,unresolved,rendered,words,2,false
23,web/src/components/AmbientLayer.tsx:175,web/src/components/AmbientLayer.tsx,175,runtime-expression,signal.openTotal,JSX child,unresolved,rendered,words,2,false
24,web/src/components/AmbientLayer.tsx:175,web/src/components/AmbientLayer.tsx,175,jsx-text,open ·,JSX text,static,rendered,words,1,false
25,web/src/components/AmbientLayer.tsx:175,web/src/components/AmbientLayer.tsx,175,runtime-expression,signal.decidedTotal,JSX child,unresolved,rendered,words,2,false
26,web/src/components/AmbientLayer.tsx:175,web/src/components/AmbientLayer.tsx,175,jsx-text,decided,JSX text,static,rendered,words,1,false
27,web/src/components/AmbientLayer.tsx:186,web/src/components/AmbientLayer.tsx,186,jsx-text,Open proposals,JSX text,static,rendered,words,2,false
28,web/src/components/AmbientLayer.tsx:189,web/src/components/AmbientLayer.tsx,189,jsx-text,Dismiss,JSX text,static,rendered,words,1,false
29,web/src/components/AmbientLayer.tsx:273,web/src/components/AmbientLayer.tsx,273,jsx-attr,Qlippy,aria-label,static,rendered,words,1,false
30,web/src/components/AmbientLayer.tsx:275,web/src/components/AmbientLayer.tsx,275,jsx-text,◉,JSX text,static,rendered,glyph-or-symbol,0,false
31,web/src/components/AmbientLayer.tsx:279,web/src/components/AmbientLayer.tsx,279,runtime-expression,"projection ? `${humanizeWireValue(String(projection.projection_kind))} · ${humanizeWireValue(String(projection.subject_label))}` : card!.frameType.replace(/_/g, "" "")",JSX child,unresolved,rendered,words,15,true
32,web/src/components/AmbientLayer.tsx:284,web/src/components/AmbientLayer.tsx,284,runtime-expression,"projection?.title ?? String( card?.title ?? card?.label ?? (card?.frameType === ""learning_event"" ? ""HoldSpeak learned"" : ""Something is ready""), )",JSX child,unresolved,rendered,words,16,true
33,web/src/components/AmbientLayer.tsx:289,web/src/components/AmbientLayer.tsx,289,jsx-expression-string,HoldSpeak learned,JSX expression,static,rendered,words,2,false
34,web/src/components/AmbientLayer.tsx:290,web/src/components/AmbientLayer.tsx,290,jsx-expression-string,Something is ready,JSX expression,static,rendered,words,3,false
35,web/src/components/AmbientLayer.tsx:294,web/src/components/AmbientLayer.tsx,294,runtime-expression,"projection?.summary ?? String( card?.preview ?? card?.detail ?? card?.body ?? ""Review this moment when you are ready."", )",JSX child,unresolved,rendered,words,16,true
36,web/src/components/AmbientLayer.tsx:311,web/src/components/AmbientLayer.tsx,311,jsx-text,Review source,JSX text,static,rendered,words,2,false
37,web/src/components/AmbientLayer.tsx:321,web/src/components/AmbientLayer.tsx,321,jsx-text,Approve,JSX text,static,rendered,words,1,false
38,web/src/components/AmbientLayer.tsx:328,web/src/components/AmbientLayer.tsx,328,jsx-text,Decline,JSX text,static,rendered,words,1,false
39,web/src/components/AmbientLayer.tsx:343,web/src/components/AmbientLayer.tsx,343,jsx-text,Dismiss,JSX text,static,rendered,words,1,false
40,web/src/components/AmbientLayer.tsx:356,web/src/components/AmbientLayer.tsx,356,jsx-attr,Microphone active,aria-label,static,rendered,words,2,false
41,web/src/components/AmbientLayer.tsx:381,web/src/components/AmbientLayer.tsx,381,jsx-text,✦,JSX text,static,rendered,glyph-or-symbol,0,false
42,web/src/components/AmbientLayer.tsx:382,web/src/components/AmbientLayer.tsx,382,runtime-expression,"String(status?.label ?? ""Analyzing meeting"")",JSX child,unresolved,rendered,words,5,true
