kind,library_import_count,library_imports,library_instance_count,library_instances,menu_modal_portal_candidates,path,raw_control_count,raw_face_violation_count,raw_needs_reading_count,raw_sanctioned_count
consumer/support,1,SurfaceState,1,SurfaceState:1,0,web/src/App.tsx,0,0,0,0
consumer/support,2,"LampGadget, SurfaceState",2,"LampGadget:1, SurfaceState:1",0,web/src/components/AmbientLayer.tsx,0,0,0,0
consumer/support,0,,0,,0,web/src/components/AppShell.tsx,0,0,0,0
consumer/support,1,SurfaceState,1,SurfaceState:1,0,web/src/components/ErrorBoundary.tsx,0,0,0,0
library implementation,0,,0,,0,web/src/components/signal/Signal.tsx,4,0,0,0
dev preview,0,,0,,0,web/src/design/AtmospherePreview.tsx,6,0,0,6
dev preview,0,,0,,0,web/src/design/atmosphere-preview.tsx,0,0,0,0
consumer/support,1,Button,1,Button:1,0,web/src/desk/DeskApp.tsx,0,0,0,0
consumer/support,0,,0,,0,web/src/desk/chair/Chair.tsx,0,0,0,0
consumer/support,15,"Button, CoverageLedger, Disclosure, EgressChip, FilterTokens, LedgerRemainder, ProjectButton, StateChip, StringGadget, SurfaceLedger, SurfaceLedgerRow, SurfaceSection, countLabel, countToken, egressFor",68,"Button:28, CoverageLedger:1, Disclosure:2, EgressChip:1, FilterTokens:1, LedgerRemainder:1, ProjectButton:1, StateChip:9, StringGadget:1, SurfaceLedger:7, SurfaceLedgerRow:7, SurfaceSection:9",0,web/src/desk/chair/ChairHome.tsx,0,0,0,0
consumer/support,0,,0,,0,web/src/desk/components/AgentAvatar.tsx,0,0,0,0
consumer/support,1,Button,1,Button:1,0,web/src/desk/components/ApplicationBoundary.tsx,0,0,0,0
consumer/support,12,"Button, CitationChips, GadgetGroup, LampGadget, LedMeter, Material, MxRadio, SurfaceFooter, SurfaceTraffic, SurfaceTrafficTurn, TransportKey, groundedMatchCount",21,"Button:7, CitationChips:1, GadgetGroup:1, LampGadget:1, LedMeter:2, Material:1, MxRadio:1, SurfaceFooter:1, SurfaceTraffic:1, SurfaceTrafficTurn:4, TransportKey:1",0,web/src/desk/components/AskPanel.tsx,1,1,0,0
consumer/support,6,"Button, CycleGadget, FoldGadget, StringGadget, SurfaceCode, SurfaceState",19,"Button:12, CycleGadget:1, FoldGadget:1, StringGadget:1, SurfaceCode:1, SurfaceState:3",0,web/src/desk/components/AttentionDrawer.tsx,0,0,0,0
consumer/support,0,,0,,0,web/src/desk/components/CallChip.tsx,1,1,0,0
consumer/support,12,"Button, CycleGadget, EgressChip, GadgetGroup, GadgetRow, StringGadget, SurfaceFooter, SurfaceLedger, SurfaceLedgerRow, SurfaceState, TransportKey, countLabel",20,"Button:1, CycleGadget:1, EgressChip:1, GadgetGroup:2, GadgetRow:5, StringGadget:3, SurfaceFooter:1, SurfaceLedger:2, SurfaceLedgerRow:2, SurfaceState:1, TransportKey:1",0,web/src/desk/components/DeliveryBoard.tsx,3,3,0,0
consumer/support,7,"Button, EgressChip, FoldGadget, SurfaceLedger, SurfaceLedgerRow, SurfaceState, SurfaceWell",10,"Button:1, EgressChip:1, FoldGadget:2, SurfaceLedger:2, SurfaceLedgerRow:1, SurfaceState:1, SurfaceWell:2",0,web/src/desk/components/DeliveryDossierWindow.tsx,1,1,0,0
consumer/support,0,,0,,0,web/src/desk/components/DeliveryListSection.tsx,1,1,0,0
consumer/support,5,"PadGadget, PaneWell, SurfaceFooter, TransportKey, TransportRow",8,"PadGadget:1, PaneWell:1, SurfaceFooter:1, TransportKey:4, TransportRow:1",0,web/src/desk/components/DeliveryTerminalWindow.tsx,0,0,0,0
consumer/support,2,"EgressChip, LampGadget",5,"EgressChip:1, LampGadget:4",3,web/src/desk/components/DeskChrome.tsx,2,2,0,0
consumer/support,3,"Button, PadGadget, StringGadget",3,"Button:1, PadGadget:1, StringGadget:1",0,web/src/desk/components/DeskComposer.tsx,0,0,0,0
consumer/support,0,,0,,2,web/src/desk/components/DeskCreateMenu.tsx,1,1,0,0
consumer/support,0,,0,,0,web/src/desk/components/DeskEditor.tsx,11,11,0,0
consumer/support,3,"FoldGadget, SurfaceCode, SurfaceState",5,"FoldGadget:2, SurfaceCode:1, SurfaceState:2",0,web/src/desk/components/DeskFilingStrip.tsx,4,4,0,0
consumer/support,2,"Button, countToken",4,Button:4,1,web/src/desk/components/DeskListView.tsx,0,0,0,0
consumer/support,0,,0,,21,web/src/desk/components/DeskMenu.tsx,4,4,0,0
consumer/support,0,,0,,1,web/src/desk/components/DeskMenuBar.tsx,1,1,0,0
consumer/support,2,"SurfaceState, useRovingRows",1,SurfaceState:1,0,web/src/desk/components/DeskSortableTable.tsx,1,1,0,0
consumer/support,0,,0,,0,web/src/desk/components/DeskStartActions.tsx,2,2,0,0
consumer/support,2,"FoldGadget, SurfaceState",3,"FoldGadget:1, SurfaceState:2",0,web/src/desk/components/DeskToolInspector.tsx,10,10,0,0
consumer/support,1,StringGadget,1,StringGadget:1,1,web/src/desk/components/DeskToolShelf.tsx,2,2,0,0
consumer/support,0,,0,,1,web/src/desk/components/DeskWindow.tsx,3,3,0,0
consumer/support,1,Button,2,Button:2,0,web/src/desk/components/EditorAIBar.tsx,0,0,0,0
consumer/support,0,,0,,0,web/src/desk/components/EmptyDesk.tsx,2,2,0,0
consumer/support,3,"Button, PadGadget, SurfaceState",8,"Button:5, PadGadget:1, SurfaceState:2",0,web/src/desk/components/FirstWords.tsx,2,2,0,0
consumer/support,0,,0,,0,web/src/desk/components/GlassDropLayer.tsx,3,3,0,0
consumer/support,3,"CheckGadget, FoldGadget, LedMeter",7,"CheckGadget:5, FoldGadget:1, LedMeter:1",0,web/src/desk/components/GroundingSection.tsx,5,5,0,0
consumer/support,4,"CycleGadget, FoldGadget, StringGadget, humanTime",3,"CycleGadget:1, FoldGadget:1, StringGadget:1",0,web/src/desk/components/InfoWindow.tsx,4,4,0,0
consumer/support,2,"SurfaceRow, SurfaceRows",4,"SurfaceRow:2, SurfaceRows:2",4,web/src/desk/components/InletAutocomplete.tsx,0,0,0,0
consumer/support,2,"Button, SurfaceFooter",3,"Button:2, SurfaceFooter:1",0,web/src/desk/components/InlineEditor.tsx,0,0,0,0
consumer/support,4,"Button, Select, countLabel, countToken",10,"Button:9, Select:1",0,web/src/desk/components/InterviewPanel.tsx,0,0,0,0
library implementation,0,,0,,0,web/src/desk/components/MicButton.tsx,2,0,0,0
consumer/support,10,"Button, ConfirmVerb, FoldGadget, GadgetRow, MxRadio, SurfaceCode, SurfaceLedger, SurfaceLedgerRow, SurfaceWell, countLabel",20,"Button:10, ConfirmVerb:1, FoldGadget:1, GadgetRow:1, MxRadio:1, SurfaceCode:1, SurfaceLedger:2, SurfaceLedgerRow:2, SurfaceWell:1",0,web/src/desk/components/MissionControlConveyor.tsx,4,4,0,0
consumer/support,0,,0,,0,web/src/desk/components/ModeTabs.tsx,1,1,0,0
consumer/support,0,,0,,0,web/src/desk/components/NewWorkbenchChooser.tsx,0,0,0,0
consumer/support,5,"Button, FoldGadget, SurfaceCode, SurfaceState, SurfaceWell",18,"Button:8, FoldGadget:3, SurfaceCode:3, SurfaceState:1, SurfaceWell:3",0,web/src/desk/components/PrReceiptsSection.tsx,0,0,0,0
consumer/support,1,Button,2,Button:2,0,web/src/desk/components/Pullout.tsx,1,1,0,0
consumer/support,3,"CheckGadget, FoldGadget, LedMeter",3,"CheckGadget:1, FoldGadget:1, LedMeter:1",0,web/src/desk/components/RailsPicker.tsx,1,1,0,0
consumer/support,0,,0,,0,web/src/desk/components/ReceiptLine.tsx,0,0,0,0
consumer/support,0,,0,,0,web/src/desk/components/RecordOrb.tsx,1,1,0,0
consumer/support,8,"Button, CheckGadget, CycleGadget, StringGadget, SurfaceFooter, SurfaceState, SurfaceWings, humanTime",12,"Button:4, CheckGadget:1, CycleGadget:1, StringGadget:1, SurfaceFooter:1, SurfaceState:3, SurfaceWings:1",0,web/src/desk/components/RepoWindow.tsx,0,0,0,0
consumer/support,4,"Button, SurfaceFooter, SurfaceState, SurfaceWings",7,"Button:1, SurfaceFooter:1, SurfaceState:4, SurfaceWings:1",0,web/src/desk/components/RoadmapWindow.tsx,0,0,0,0
consumer/support,5,"Button, CycleGadget, GadgetGroup, GadgetRow, StringGadget",12,"Button:2, CycleGadget:2, GadgetGroup:1, GadgetRow:5, StringGadget:2",0,web/src/desk/components/ScheduleCreateWindow.tsx,1,0,1,0
consumer/support,9,"CycleGadget, LampGadget, LedMeter, PaneWell, StringGadget, SurfaceFacts, SurfaceFooter, TransportKey, TransportRow",27,"CycleGadget:1, LampGadget:1, LedMeter:2, PaneWell:1, StringGadget:3, SurfaceFacts:2, SurfaceFooter:1, TransportKey:13, TransportRow:3",0,web/src/desk/components/SessionPullout.tsx,7,7,0,0
consumer/support,0,,0,,0,web/src/desk/components/SpeakerGlyph.tsx,1,1,0,0
consumer/support,3,"FootSlotContext, TitleSlotContext, WingSlotContext",0,,0,web/src/desk/components/SurfaceWindows.tsx,0,0,0,0
consumer/support,8,"Button, EgressChip, StringGadget, SurfaceState, countToken, egressForEvent, humanTime, receiptLabel",15,"Button:13, EgressChip:1, StringGadget:1",0,web/src/desk/components/SystemShade.tsx,0,0,0,0
consumer/support,3,"Button, SurfaceRow, SurfaceRows",7,"Button:5, SurfaceRow:1, SurfaceRows:1",1,web/src/desk/components/ThreadComposer.tsx,2,2,0,0
consumer/support,4,"LampGadget, SurfaceGroup, SurfaceSection, SurfaceSettingRow",8,"LampGadget:1, SurfaceGroup:2, SurfaceSection:1, SurfaceSettingRow:4",0,web/src/desk/components/TrustWindow.tsx,1,1,0,0
