Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:  25%|██▌       | 1/4 [00:00<00:00,  5.43it/s]Fetching 4 files: 100%|██████████| 4/4 [00:18<00:00,  5.02s/it]Fetching 4 files: 100%|██████████| 4/4 [00:18<00:00,  4.66s/it]
run=1 warmup=true capture_stop_ms=0.015 session_seal_ms=0.283 transcribe_ms=19463.547 punctuation_ms=0.688 pipeline_ms=0.029 type_ms=146.900 release_to_landed_ms=19611.479
run=2 warmup=true capture_stop_ms=0.037 session_seal_ms=0.327 transcribe_ms=62.614 punctuation_ms=0.456 pipeline_ms=0.014 type_ms=5.236 release_to_landed_ms=68.710
run=3 warmup=false capture_stop_ms=0.013 session_seal_ms=0.282 transcribe_ms=61.997 punctuation_ms=0.068 pipeline_ms=0.011 type_ms=5.463 release_to_landed_ms=67.846
run=4 warmup=false capture_stop_ms=0.013 session_seal_ms=0.305 transcribe_ms=62.002 punctuation_ms=0.065 pipeline_ms=0.009 type_ms=5.079 release_to_landed_ms=67.486
run=5 warmup=false capture_stop_ms=0.013 session_seal_ms=0.670 transcribe_ms=61.861 punctuation_ms=0.064 pipeline_ms=0.009 type_ms=7.539 release_to_landed_ms=70.173
run=6 warmup=false capture_stop_ms=0.013 session_seal_ms=0.282 transcribe_ms=61.074 punctuation_ms=0.072 pipeline_ms=0.010 type_ms=7.139 release_to_landed_ms=68.602
run=7 warmup=false capture_stop_ms=0.011 session_seal_ms=0.277 transcribe_ms=61.703 punctuation_ms=0.065 pipeline_ms=0.010 type_ms=6.736 release_to_landed_ms=68.813
run=8 warmup=false capture_stop_ms=0.012 session_seal_ms=0.350 transcribe_ms=61.419 punctuation_ms=0.069 pipeline_ms=0.010 type_ms=5.925 release_to_landed_ms=67.797
run=9 warmup=false capture_stop_ms=0.012 session_seal_ms=0.289 transcribe_ms=62.547 punctuation_ms=0.070 pipeline_ms=0.010 type_ms=7.537 release_to_landed_ms=70.478
run=10 warmup=false capture_stop_ms=0.012 session_seal_ms=0.275 transcribe_ms=62.178 punctuation_ms=0.072 pipeline_ms=0.010 type_ms=4.690 release_to_landed_ms=67.251
run=11 warmup=false capture_stop_ms=0.012 session_seal_ms=0.294 transcribe_ms=62.434 punctuation_ms=0.067 pipeline_ms=0.010 type_ms=5.247 release_to_landed_ms=68.076
run=12 warmup=false capture_stop_ms=0.012 session_seal_ms=0.276 transcribe_ms=62.891 punctuation_ms=0.064 pipeline_ms=0.008 type_ms=5.497 release_to_landed_ms=68.759
run=13 warmup=false capture_stop_ms=0.013 session_seal_ms=0.298 transcribe_ms=63.175 punctuation_ms=0.064 pipeline_ms=0.010 type_ms=5.218 release_to_landed_ms=68.791
run=14 warmup=false capture_stop_ms=0.011 session_seal_ms=0.273 transcribe_ms=61.798 punctuation_ms=0.070 pipeline_ms=0.011 type_ms=4.638 release_to_landed_ms=66.814
run=15 warmup=false capture_stop_ms=0.013 session_seal_ms=0.296 transcribe_ms=62.098 punctuation_ms=0.070 pipeline_ms=0.008 type_ms=4.552 release_to_landed_ms=67.053
run=16 warmup=false capture_stop_ms=0.013 session_seal_ms=0.295 transcribe_ms=60.885 punctuation_ms=0.071 pipeline_ms=0.011 type_ms=9.592 release_to_landed_ms=70.878
run=17 warmup=false capture_stop_ms=0.011 session_seal_ms=0.312 transcribe_ms=62.702 punctuation_ms=0.064 pipeline_ms=0.009 type_ms=5.420 release_to_landed_ms=68.532
run=18 warmup=false capture_stop_ms=0.011 session_seal_ms=0.271 transcribe_ms=62.105 punctuation_ms=0.063 pipeline_ms=0.007 type_ms=5.258 release_to_landed_ms=67.728
run=19 warmup=false capture_stop_ms=0.013 session_seal_ms=0.283 transcribe_ms=62.165 punctuation_ms=0.066 pipeline_ms=0.009 type_ms=5.193 release_to_landed_ms=67.743
run=20 warmup=false capture_stop_ms=0.012 session_seal_ms=0.292 transcribe_ms=61.379 punctuation_ms=0.063 pipeline_ms=0.010 type_ms=8.262 release_to_landed_ms=70.031
run=21 warmup=false capture_stop_ms=0.012 session_seal_ms=0.289 transcribe_ms=61.182 punctuation_ms=0.063 pipeline_ms=0.008 type_ms=4.472 release_to_landed_ms=66.037
run=22 warmup=false capture_stop_ms=0.011 session_seal_ms=0.354 transcribe_ms=62.259 punctuation_ms=0.063 pipeline_ms=0.009 type_ms=5.834 release_to_landed_ms=68.542
